seed,steps,success,death,timeout
42,65500.0,0.004,0.996,0.0
42,1800000.0,0.005,0.995,0.0
42,3400000.0,0.007,0.993,0.0
42,5100000.0,0.007,0.986,0.007
42,6900000.0,0.005,0.658,0.337
42,8700000.0,0.003,0.273,0.724
42,10000000.0,0.001,0.199,0.801
43,65500.0,0.003,0.997,0.0
43,1800000.0,0.004,0.996,0.0
43,3500000.0,0.007,0.993,0.0
43,5200000.0,0.007,0.959,0.034
43,7100000.0,0.003,0.459,0.537
43,8800000.0,0.001,0.167,0.831
43,10000000.0,0.0,0.13,0.87
44,65500.0,0.003,0.997,0.0
44,1800000.0,0.005,0.995,0.0
44,3500000.0,0.007,0.993,0.0
44,5200000.0,0.006,0.845,0.15
44,6900000.0,0.001,0.223,0.776
44,8600000.0,0.0,0.06,0.94
44,10000000.0,0.001,0.041,0.958
